article_id,topic
151832,Trump meeting
110126,Trump meeting
172078,Trump meeting
48306,Trump meeting
57365,Trump meeting
190512,Trump meeting
26536,Trump meeting
71335,Trump meeting
21499,Trump meeting
23872,Trump meeting
142033,Trump meeting
110133,Trump meeting
23888,Trump meeting
71336,Trump meeting
57366,Trump meeting
71339,Trump meeting
120639,Brazil impeachment
80103,Brazil impeachment
25225,Brazil impeachment
21502,Brazil impeachment
57362,Brazil impeachment
120636,Brazil impeachment
110141,Brazil impeachment
40617,Kaepernick
40543,Kaepernick
39520,Kaepernick
80109,Kaepernick
80101,Kaepernick
47403,Kaepernick
214888,Clinton Guccifer
85803,Clinton Guccifer
47979,Clinton Guccifer
37252,Farage
37468,Farage
46175,Farage
49480,Anthony Weiner
110144,Anthony Weiner
142300,Anthony Weiner
214934,Anthony Weiner
38658,SpaceX
134545,SpaceX
172095,SpaceX
214894,SpaceX
21448,Safe space
78169,Safe space
78171,Safe space
43447,Lauer debate
47078,Lauer debate
138709,Lauer debate
172079,Venezuela
57375,Venezuela
190522,Venezuela
217418,haiti AND president
217419,haiti AND president
217420,haiti AND president
217421,haiti AND president
217422,haiti AND president
217423,haiti AND president
217424,haiti AND president
217425,haiti AND president
217426,haiti AND president
217427,haiti AND president
217428,haiti AND president
217429,haiti AND president
217430,haiti AND president
217431,haiti AND president
217432,haiti AND president
217433,haiti AND president
217434,haiti AND president
217435,haiti AND president
217436,haiti AND president
217437,haiti AND president
217438,haiti AND president
217439,haiti AND president
217440,haiti AND president
217441,haiti AND president
158005,Iran deal
48823,Iran deal
57373,Iran deal
120634,Iran deal
172085,David Brown
80096,David Brown
141886,David Brown
80094,Penn State
157527,Penn State
214892,Penn State
217466,critical AND race AND theory
217467,critical AND race AND theory
217468,critical AND race AND theory
217469,critical AND race AND theory
217470,critical AND race AND theory
217471,critical AND race AND theory
217472,critical AND race AND theory
217473,critical AND race AND theory
217474,critical AND race AND theory
217475,critical AND race AND theory
217476,critical AND race AND theory
217477,critical AND race AND theory
217478,critical AND race AND theory
217481,critical AND race AND theory
217482,critical AND race AND theory
217483,critical AND race AND theory
217484,critical AND race AND theory
217485,critical AND race AND theory
217486,critical AND race AND theory
217487,critical AND race AND theory
217488,critical AND race AND theory
217489,critical AND race AND theory
217517,capitol AND riot AND trump
217519,capitol AND riot AND trump
217520,capitol AND riot AND trump
217521,capitol AND riot AND trump
217522,capitol AND riot AND trump
217523,capitol AND riot AND trump
217524,capitol AND riot AND trump
217526,capitol AND riot AND trump
217527,capitol AND riot AND trump
217528,capitol AND riot AND trump
217529,capitol AND riot AND trump
217530,capitol AND riot AND trump
217531,capitol AND riot AND trump
217532,capitol AND riot AND trump
217533,capitol AND riot AND trump
217534,capitol AND riot AND trump
217535,capitol AND riot AND trump
217536,capitol AND riot AND trump
217539,capitol AND riot AND trump
217442,afghanistan AND war AND end
217443,afghanistan AND war AND end
217444,afghanistan AND war AND end
217445,afghanistan AND war AND end
217446,afghanistan AND war AND end
217447,afghanistan AND war AND end
217448,afghanistan AND war AND end
217449,afghanistan AND war AND end
217450,afghanistan AND war AND end
217451,afghanistan AND war AND end
217452,afghanistan AND war AND end
217453,afghanistan AND war AND end
217454,afghanistan AND war AND end
217455,afghanistan AND war AND end
217456,afghanistan AND war AND end
217457,afghanistan AND war AND end
217458,afghanistan AND war AND end
217459,afghanistan AND war AND end
217460,afghanistan AND war AND end
217461,afghanistan AND war AND end
217462,afghanistan AND war AND end
217463,afghanistan AND war AND end
217464,afghanistan AND war AND end
217465,afghanistan AND war AND end
217490,inflation AND economy AND fed
217491,inflation AND economy AND fed
217492,inflation AND economy AND fed
217493,inflation AND economy AND fed
217494,inflation AND economy AND fed
217495,inflation AND economy AND fed
217496,inflation AND economy AND fed
217497,inflation AND economy AND fed
217498,inflation AND economy AND fed
217499,inflation AND economy AND fed
217500,inflation AND economy AND fed
217501,inflation AND economy AND fed
217502,inflation AND economy AND fed
217504,inflation AND economy AND fed
217505,inflation AND economy AND fed
217506,inflation AND economy AND fed
217507,inflation AND economy AND fed
217508,inflation AND economy AND fed
217509,inflation AND economy AND fed
217510,inflation AND economy AND fed
217511,inflation AND economy AND fed
217513,inflation AND economy AND fed
217514,inflation AND economy AND fed
